course_code,course_name,prerequisites,incompatible,restricted,faculty,school,units,semesters,duration,description
ABTS3030,International Indigenous Perspectives: Approaches from the Global South,,,,Humanities and Social Sciences,Humanities and Social Sciences,2,,One Semester,"This course explores the interdisciplinary works of Indigenous Global South theorists and how these theories relate to Indigenous Southern theory in Australia. The main aim is to give students the opportunity to engage with the works of Global Indigenous perspectives in philosophy, social science, cultural studies and history and their relationship with Indigenous Australian interdisciplinary perspectives. The Indigenous/Southern perspectives will be the focus of the course, as conceptualised in coloniality/decolonial and Southern Theory. The course will first discuss postcolonial theory, coloniality/decolonial theory and southern theory drawing from the main works of Gayatri Spivak, Raewyn Connell, Martin Nakata, Walter Mignolo, Anibal Quijano and others. Then the course will show how philosophy, social sciences, cultural studies and history looks like from a decolonial and southern perspective. The course content will draw examples from the Indigenous/Southern perspectives of the Americas (Canada, Latin America and the United States), New Zealand and the Pacific region, South Asia/Indian Subcontinent and the African nations. Lastly the course will help students examine and critically reflect on how different Global Indigenous/Southern perspectives are evaluated in relation to Aboriginal and Torres Strait Islander Australian perspectives in philosophy, cultural studies, social sciences and history. In the end the student should be able to produce an informed position on International Indigenous perspectives and its use in the Aboriginal and Torres Strait Islander academic arena."
ABTS7000,Major Themes in Aboriginal & Torres Strait Islander Studies,,ID101,,Humanities and Social Sciences,Humanities and Social Sciences,2,,One Semester,Survey of major themes in Aboriginal & Torres Strait Island Studies from an Aboriginal & Torres Strait Island perspective. Thorough introduction to various government departments & agencies involved in Aboriginal & Torres Strait Island affairs.
ACCT1101,Accounting for Decision Making,,,,"Business, Economics & Law",Business School,2,,One Semester,"Introduction to the accounting environment, analysis and interpretation of financial statements and other business information for the purpose of decision making."
ACCT1901D,Financial Accounting,MATH1901D,,AssocDBus students only,UQ College,"Business, Economics & Law Fac",2,,One Trimester,"This is an introductory course that provides a conceptual foundation for understanding the purpose of accounting, what an accounting system is and how this system provides information about business activities. The course also provides insight into how persons external to a business can use the financial statements produced by the business' accounting system to form opinions about its performance."
ACCT1902D,Managerial Accounting,ACCT1901D,,AssocDBus students only,UQ College,"Business, Economics & Law Fac",2,,One Trimester,Managerial Accounting is the study of the use of financial information to understand the operation and performance of the business and to make business decisions. The emphasis in this course is on accounting for decision making. This course will help students understand the language of business and develop a basic understanding of the information needed to make decisions about how to operate a business and evaluate its worth.
ACCT2101,Financial Reporting,ACCT1101,ACCT2111 or 2112 or 7101 or 7700 or 7804,,"Business, Economics & Law",Business School,2,,One Semester,"Develops the framework for the preparation and interpretation of financial statements through the provision of information on a range of common business transactions for companies, and on regulatory framework for financial reporting."
ACCT2102,Principles of Management Accounting,ACCT1110 or 2101 or 2111,ACCT2113,,"Business, Economics & Law",Business School,2,,One Semester,"Introduction to cost accounting concepts: relevant to planning, controlling & decision-making activities within organisations. Focusing on the accounting systems that managers use in their decisions about resource allocation & performance evaluation; especially within the manufacturing environment."
ACCT2111,Principles of Financial Accounting,,(ACCT1101 and ACCT2101) or 2112 or 7101 or 7700 or 7804,Restricted to students enrolled in the BAdvFinEcon(Hons),"Business, Economics & Law",Business School,2,,One Semester,"Develops the framework for the preparation and interpretation of financial statements through the provision of information on a range of common business transactions for companies, and on regulatory framework for financial reporting."
ACCT2112,Financial Accounting for Business,,(ACCT1101 and ACCT2101) or 2111 or 7101 or 7700 or 7804,Course is restricted to students enrolled in the BAdvBus(Hons) program,"Business, Economics & Law",Business School,2,,One Semester,"Develops the framework for the preparation and interpretation of financial statements through the provision of information on a range of common business transactions for companies, and on a regulatory framework for financial reporting."
ACCT2113,Management Accounting Principles,ACCT2101 or 2111 or 2112,ACCT2102 or 7107,Course is restricted to students enrolled in the BAdvBus(Hons) program,,,2,,One Semester,"This course introduces students to cost accounting concepts relevant to planning and controlling and decision making activities within organisations. Focusing on the accounting systems that managers use in their decisions about resource allocation and performance evaluation, especially within the manufacturing environment."
ACCT2114,Foundations of Management Accounting,ACCT2111,"ACCT2102, ACCT2113",Restricted to students enrolled in the BAdvFinEcon(Hons),,,2,,One Semester,"Week 1: Course Introduction; What is management accounting?; Key issues in management accounting
Week 2: Costs and cost behaviour
Week 3: Cost-volume-profit analysis
Week 4: Relevant costs for decision making
Week 5 and 6: Accumulating and assigning costs to cost objects: Traditional approaches
Week 7: Activity-based costing
Week 8: Budgeting
Week 9 and 10: Performance measurement
Week 11: Measuring and managing customer relationships
Week 12: Incentive schemes and other behavioural issues
Week 13: Revision"
ACCT3101,Auditing & Public Practice,ACCT3102,ACCT7103,Quota: Minimum of 35 enrolments,"Business, Economics & Law",Business School,2,,One Semester,"Financial information; demand & supply; audit profession; audit process; evidence, program planning, statistical sampling; examinations; analysis of organisation; internal control, testing of transactions, balances & allocations; the computer; reports; responsibility of auditor."
ACCT3102,External Reporting Issues,ACCT1110 or 2101 or 2112,ACCT7102,Quota: Minimum of 35 enrolments,"Business, Economics & Law",Business School,2,,One Semester,"Role of accounting information in financial contracts, accounting for shareholders' equity, revenue, expense, assets & liabilities, with applications to leases, extractive industries, income tax."
ACCT3103,Accounting for Corporate Structures,ACCT3102,ACCT7104,Quota: Minimum of 35 enrolments,"Business, Economics & Law",Business School,2,,One Semester,"Accounting for corporate group structures, joint arrangements, associates, foreign currency translations, operating segments, external administration and capital structures."
ACCT3104,Management Accounting,ACCT2102 or 2113,,Quota: Minimum of 35 enrolments,"Business, Economics & Law",Business School,2,,One Semester,"Accounting information relevant for planning, control & performance evaluation decisions by management in business & non-business organisations; alternative analyses & systems; conceptual issues & behavioural implications."
ACCT3105,Advanced Management Accounting,ACCT3104,ACCT7108,Quota: Minimum of 35 enrolments,"Business, Economics & Law",Business School,2,,One Semester,Analysis of the design and use of management control systems; application of management control frameworks in analysis of case studies in for-profit & non-profit organisations.
ACCT4101,Advanced Studies in Accounting,ACCT3102 + 4 units from the major,,Capstone course to be studied in the major. Course is restricted to students enrolled in the BAdvBus(Hons) program.,,,2,,One Semester,"This integrative, capstone course is concerned with the interplay of accounting strategy and organisational policy and strategy making. How accounting strategy supports the achievement of the strategic ambitions of organisations is a particular focus. Key issues are establishing effective accounting strategies and the organisational and environmental precursors to developing such strategies. The distinction between financial and managerial accounting is given less emphasis; flexibility in the analysis of organisational opportunities is given more emphasis. Students are expected to show intellectual leadership by conducting a significant research project within the domain of accounting."
ACCT6101,Financial Information in Capital Markets,Permission from Head of School,,"BAdvBus(Hons), BCom(Hons), GCBusRMeth, GDipBRM, MCom(#32), MCom(Adv), PhD, MPhil.
Quota: Minimum of 10 enrolments","Business, Economics & Law",Business School,2,,One Semester,"Economics-based research in financial accounting, in particular studies of use of accounting information in capital markets & factors influencing choices of accounting policy."
ACCT6102,Accounting Honours - Special Topic,Permission from Head of School,,"BAdvBus(Hons), BCom(Hons), GCBusRMeth, GDipBRM, MCom(#32), MCom(Adv), PhD, MPhil.
Quota: Minimum of 10 enrolments","Business, Economics & Law",Business School,2,,One Semester,Financial accounting research & its implication for practice. Specific issues are included according to their importance to professional practice & accounting regulation.
ACCT6103,Auditing Honours,ACCT3101 + permission from Head of School,,Quota: Minimum of 10 enrolments,,,2,,One Semester,Consideration of theoretical issues & role aspects of the public accounting practitioner.
ACCT6104,Managerial Accounting Honours A,ACCT3104 + permission from Head of School,,"BAdvBus(Hons), BCom(Hons), GCBusRMeth, GDipBRM, MCom(#32), MCom(Adv), PhD, MPhil.
Quota: Minimum of 10 enrolments","Business, Economics & Law",Business School,2,,One Semester,"The course introduces the major theoretical foundations of management accounting research, including economic (agency), psychological, and organizational (contingency) approaches, with a particular emphasis on contingency theory. A major focus of the course is the design and use of management control systems (MCS), and within this focus, the operation of performance measurement systems and budgets are considered. Management accounting research across different sectors (for example, for-profit, non-profit) is discussed, along with the implication of MCS design choices both within the firm, and in inter-firm relationships."
ACCT7101,Accounting,,ACCT2101,,"Business, Economics & Law",Business School,2,,One Semester,"An introductory course that equips students with an integrated base of theoretical and technical knowledge and skills in financial accounting. Financial accounting is a system used to prepare reports that disseminate information about the performance and financial status of a business to external parties. For example, the system used by the directors of a public company to prepare financial statements in the annual report issued to shareholders of that company. This course commences with an introduction to accounting terminology, the basic financial statements required for most businesses in the context of the Australian regulatory environment and the latest Australian Accounting Standards after harmonisation with the International Accounting Standards. The body of the course focuses on the skills necessary for the preparation and analysis of information contained in external financial statements, these being - the Income Statement, the Balance Sheet, the Statement of Changes in Equity and the Cash Flow Statement. Specific accounting issues relating to revenues, expenses, assets, liabilities and equity are addressed within the context of the financial statements. Interpretation and evaluation of information presented in financial statements are also undertaken using ratio analysis techniques."
ACCT7102,Financial Accounting,ACCT7101,ACCT3102,Quota: Minimum of 15 enrolments,"Business, Economics & Law",Business School,2,,One Semester,"External reporting by companies, in particular, annual reports of public companies & reasons for alternative accounting & techniques used in such reports."
ACCT7103,Auditing,(ACCT7101 + ACCT7102),ACCT3101,Quota: Minimum of 15 enrolments,"Business, Economics & Law",Business School,2,,One Semester,Conceptual framework of field of auditing. Problem-solving skills to carry out effective & efficient audits.
ACCT7104,Corporate Accounting,ACCT7101,ACCT3103,Quota: Minimum of 15 enrolments,"Business, Economics & Law",Business School,2,,One Semester,Impact of corporate structures on financial statements & contracts written by diversified entities.
ACCT7105,Advanced Financial Accounting,(ACCT7102 + 7104),,Quota: Minimum of 15 enrolments,,,2,,One Semester,Professional financial accounting issues & implications of research literature.
ACCT7106,Financial Statement Analysis,(ACCT7101 + FINM7401),,Quota: Minimum of 15 enrolments,"Business, Economics & Law",Business School,2,,One Semester,"Financial statement analysis, traditional procedures & current developments. Use of accounting data for valuation of firms."
ACCT7107,Management Accounting and Control,ACCT7101,ACCT2102 + ACCT3104,Quota: Minimum of 15 enrolments,"Business, Economics & Law",Business School,2,,One Semester,To enable potential managers to make informed decisions about costs and cost management; organisational plans and budgets; and the evaluation of business and managerial performance within a framework value creation and the effective and efficient use of organisational resources.
ACCT7108,Advanced Management Accounting and Control,ACCT7107,ACCT3105,Quota: Minimum of 15 enrolments,"Business, Economics & Law",Business School,2,,One Semester,"Managerial accounting, planning & control systems. Divisional & managerial performance evaluation. Application of underlying conceptual frameworks in analysis of case studies in business & non-profit organisations."
ACCT7109,Strategic Cost Management,ACCT7107,,Quota: Minimum of 15 enrolments,,,2,,One Semester,Study of formal bases for choice among managerial accounting systems. Information economics.
ACCT7700,Accounting in a Governance Framework,Permission from Head of School,ACCT1101 or 7020 or 7804 or MEBS7101,"Restricted to students in the GCELead. 
Quota: Minimum of 10 enrolments
UQ reserves the right to limit the number of participants from any one organisation.",,,2,,One Semester,"Accounting involves compiling & interpreting financial information about an enterprise & its activities as a basis for making & evaluating economic decisions about the deployment of resources. Therefore, a basic knowledge of accounting is important for anyone involved in modern enterprises, whether they be profit oriented or government/non-profit entities. The aim of the course is to provide a broad understanding of the accounting discipline to enable students to comprehend, evaluate, interpret, question & intelligently discuss accounting information; & understand the uses, limitations, complexities & evolving nature of accounting."
ACCT7804,Accounting and Business Analysis,,ACCT2101 or 7020 or 7101 or 7700 or MEBS7101,"GCBA, GDipBA, MBA","Business, Economics & Law",Business School,2,,One Semester,"Accounting involves compiling & interpreting financial information about an enterprise & its activities as a basis for making & evaluating economic decisions about the deployment of resources. Therefore, a basic knowledge of accounting is important for anyone involved in modern enterprises, whether they be profit oriented or government/non-profit entities. The aim of the course is to provide a broad understanding of the accounting discipline to enable students to comprehend, evaluate, interpret, question & intelligently discuss accounting information; & understand the uses, limitations, complexities & evolving nature of accounting."
ADVT2506,Online Advertising,"MKTG1501 + 4 units.
BCommun students require ADVT2509.",MKTG2506 or 7505,Quota: Minimum of 35 enrolments,"Business, Economics & Law",Business School,2,,One Semester,"The Advertising industry has undergone significant transformations in recent years as interactive and digital media have changed media and advertising. This course will explore the implications for media content, audiences, modes of media consumption and production, modes of delivery for advertising and methods of audience measurement within an online environment. The course investigates developments in digital and interactive media, the online advertising environment and online media/advertising consumption by audiences. Students will gain practical skills in how to use online environments for advertising: how to target particular audiences, how to manage online content and digital objects, and other practical considerations such as how to utilize social media, and the importance of Search Engine Marketing."
ADVT2509,Foundations of Advertising,MKTG1501 + 4 units of courses. BCommun students require COMU1010 or COMU1120 or COMU1052,ADVT7508 or MKTG3502 or 7508,Quota: Minimum of 35 enrolments,"Business, Economics & Law",Business School,2,,One Semester,"This course examines the business of advertising. It addresses the history, structure, workings, context and regulatory framework of the advertising industry in Australia and situates this in a global context. Theoretical foundations of advertising and their application to planning and implementing advertising strategies will be addressed. Students will gain practical knowledge of the advertising industry, including creation of successful campaigns and assessment of campaign effectiveness. Guest speakers from the advertising industry will demonstrate the roles of advertising industry stakeholders, and what constitutes effective campaigns."
ADVT2510,Advertising Media,"MKTG1501 + 4 units.
MCommun students require ADVT2509.",ADVT7506 or MKTG2504 or 7506 or ORGC2602,Quota: Minimum of 35 enrolments,"Business, Economics & Law",Business School,2,,One Semester,"This course explores the world of advertising and media industries and examines the various media that are used for advertising. Media and Advertising Industry guests share their experiences, discuss the costs, constraints, and opportunities presented when using different media for advertising, together with the importance of understanding the measurement of media audiences. The course introduces students to current advertising media issues including media fragmentation and the integration of the ever-developing range of digital media into current media campaigns. Practical workshops introduce creative advertising strategies and skills. Students develop an understanding of audience measurement, basic media data, and subsequent media selection. Student teams work on creative concept development and copywriting to design a fun advertising campaign to 'sell the unsellable'. Students teams develop their skills further by selecting media and creating an implementable advertising campaign."
ADVT2511,Advertising & Consumer Culture,"MKTG1501 + 4 units.
BCommun students require ADVT2509.",ORGC3621,Quota: Minimum of 35 enrolments,"Business, Economics & Law",Business School,2,,One Semester,Students apply previously learned theories by analysing advertising texts and by examining how advertising strategies have evolved.
ADVT3505,Advertising Strategy,ADVT2506 or 2509 or 2510 or 2511 or MKTG2506 or 3502,MKTG3505,Quota: Minimum of 35 enrolments,"Business, Economics & Law",Business School,2,,One Semester,"This course provides students with an advanced understanding of advertising strategy. It brings together and builds on the various practical and theoretical aspects of advertising addressed in other ADVT courses, and offers guidelines for best practice in advertising strategy. The lectures, readings and discussions give an important theoretical framework for the students' practical, intellectual and creative development in advertising. Students will learn how to develop, critique and assess advertising strategy. The course will include: analysis of advertising strategy, with detailed discussion of significant global and local advertising campaigns; an overview of current theory and research about advertising strategy, and examination of what makes for effective advertising; 
advanced media analysis, applying audience research to strategy development; practical application of these various elements in advertising strategy development exercises."
ADVT3506,Advertising Research,ADVT2506 or 2509 or 2510 or 2511 or MKTG2506 or 3502,ORGC3608,Quota: Minimum of 35 enrolments,"Business, Economics & Law",Business School,2,,One Semester,"Advertisers' expenditure on media and related activities continues to rapidly change and expand (especially in emerging economies), and more than ever before this expenditure is subject to significant financial and marketplace scrutiny. This course is designed to offer students an opportunity to develop in-depth knowledge of the main quantitative and qualitative methods used in advertising and media research, especially for the purposes of advertising evaluation. Emphasis is placed on the importance of research in advertising and media, applied research skills for advertising evaluation and media measurement, and critical analysis skills relating to advertising and media research. Students will gain a strong theoretical and practical understanding of relevant research techniques and topical research issues in the field, through exposure to academic and industry research readings, case studies, assessment relating to a real campaign, and industry guest lecturers."
ADVT3507,Creative Advertising and Production,ADVT2506 or 2509 or 2510 or 2511 or MKTG2506 or 3502,ADVT7509 or MKTG7509 or ORGC3622,Quota: Minimum of 35 enrolments,"Business, Economics & Law",Business School,2,,One Semester,"This course further develops students understanding of production processes involved in the execution of creative advertising. Using digital videos and production/editing software, the students will undertake practical creative tasks. The course examines several different aspects of creative production, from creating powerful visual images, using digital cameras and videos, creating, recording and manipulating sound for creative purposes, filming and editing video, copywriting, scriptwriting and narrative development. Media production professionals will be involved in guest lectures and workshops, to help develop students' skills in producing and understanding creative and persuasive content. However, emphasis is placed on the management and coordination of content production."
ADVT3508,Contemporary Issues in Advertising,ADVT2506 or 2509 or 2510 or 2511 or MKTG2506 or 3502,RBUS3906,Quota: Minimum of 35 enrolments,"Business, Economics & Law",Business School,2,,One Semester,"ADVT3508 provides students with an in-depth and critical review of contemporary advertising research and issues. A broad overview of influential advertising theories, research and practice underpins this analysis. The course aims to equip students with the knowledge and skills needed to undertake a comprehensive review of contemporary issues that pushes the boundaries of our knowledge of the field."
ADVT7506,Strategic Advertising Management,ADVT7508,ADVT2510 or MKTG2504 or 7506,"Quota: Minimum of 15 enrolments.
Final course in field of study.","Business, Economics & Law",Business School,2,,One Semester,"This course provides an advanced understanding of various traditional and new media that are used for advertising and compares them in terms of costs, constraints, opportunities and measurement. The course examines current media industry issues including media fragmentation, digital media and convergence, and changing media consumption. Students will apply theoretical and practical knowledge acquired from lectures, workshops and case examples, to the development of a creative advertisement and media plan, and learn to critically examine media placement decisions and campaign strategy."
ADVT7507,Digital Advertising Strategy,,MKTG7507,Quota: Minimum of 15 enrolments,"Business, Economics & Law",Business School,2,,One Semester,"This course introduces students to marketing and advertising processes for creating value and managing consumers in expanding electronic, interactive, and networked environments. In this subject students will examine marketingÂ¿s role in developing solutions that leverage consumers engagement with technological platforms and gain practical insight into the application of technology in product and service design, advertising, branding and communications, and e-marketing strategy."
ADVT7508,Fundamentals of Advertising,,ADVT2509 or MKTG3502 or 7508,Quota: Minimum of 15 enrolments,"Business, Economics & Law",Business School,2,,One Semester,"The advertising and media industry plays a significant role in developed and an increasingly significant role in emerging economies. This course introduces students to the fundamentals of advertising, including the business of advertising, the history and structure of the industry, and the role of regulatory frameworks. There is a particular emphasis on developing a practical knowledge of advertising, including the process of developing advertising strategies and the evaluation of strategy effectiveness. Guest speakers from the advertising industry will share various stakeholder perspectives, and their views on the defining characteristics of successful campaigns."
ADVT7509,Creative Advertising Development,,ADVT3507 or MKTG7509,Quota: Minimum of 15 enrolments,"Business, Economics & Law",Business School,2,,One Semester,"This course further develops students' understanding of production processes involved in the execution of creative advertising in a contemporary communication context. Using digital videos and production/editing software, students will undertake practical creative tasks. This course examines several different aspects of creative production from creating powerful visual images, using digital cameras and videos, creating, recording and manipulating sound for creative purposes, videography and editing video, copywriting, scriptwriting and narrative development. However, emphasis is placed on developing creative thinking skills, and applying them purposefully through the management and coordination of content production."
ADVT7510,Social Media Management,,,Quota: Minimum of 15 enrolments,"Business, Economics & Law",Business School,2,,One Semester,Social media is the fastest growing area of advertising expenditure worldwide. Advertisers are increasingly shifting their advertising expenditure to social media at the expense of traditional media formats (especially broadcast media). This course provides students with an introduction to the effective use of social media by advertising and places emphasis on planning and evaluation of social media strategies. Employment opportunities in social media are rapidly growing.
ADVT7512,Media Planning and Buying,,,,"Business, Economics & Law",Business School,2,,One Semester,The business of advertising is driven by large global advertisers and the media companies supporting and implementing their media planning and plans. This course provides an overview of the processes of media buying and planning with an emphasis on the design and implementation of strategic media plans. Media companies are major employers within the advertising industry and today they dominate the advertising and media landscape.
ADVT7513,Advertising Research Methods,,,,"Business, Economics & Law",Business School,2,,One Semester,The design and implementation of effective advertising and media strategies requires careful evaluation. The course Advertising Research Methods provides students with an overview of the methods and techniques used to evaluate advertising effectiveness and research consumer responses to advertising more generally. Employment in advertising research requires special expertise and is an area of growing employment demand.
AERO1000,Introduction to Aviation Systems,Permission of Head of School.,,"Restricted to BE (Elec&Aero) & BE (SWSys&Aero), max. quota 24 students, minimum enrolment of 12 students required.","Engineering, Architecture & Information Technology",Info Tech & Elec Engineering,2,,One Semester,"Introduction to the practices & procedures of modern aviation systems. Theory & practice of flight control systems using flight simulators. Theory and practice of Unmanned Aerial Vehicles. Description, simulation & analysis of flight dynamics using computer-based dynamical system simulation software. Involves some lectures & visits to Brisbane Airport and Archerfield airport. Course held 7 hours per day x 7-8 days during weeks 1 & 2 of semester."
AERO3110,Aero Design & Manufacturing,MECH2300,AERO4100,,"Engineering, Architecture & Information Technology",Mech & Mine Engineering School,2,,One Semester,"This course examines aerospace structural design, with an emphasis on metallic structures. The course covers: 1) certification (i.e. what is required to demonstrate that a structural component is safe and compliant with applicable regulations); 2) stress analysis techniques used to design and certify the thin walled structures which comprise most of the aircraft structure; 3) characteristics and manufacturing processes for high strength aerospace metallic materials; 4) structural optimisation in a practical context (i.e. how to design a component, in terms of materials and sizing, to have minimum weight, the required strength, and be suitable for manufacture). For students who need to complete AERO3110, you will now enrol in AERO4100. This is a Course Code change only."
AERO4100,Aero Design and Manufacturing,MECH2300,AERO3110,,"Engineering, Architecture & Information Technology",Mech & Mine Engineering School,2,,One Semester,"This course examines aerospace structural design, with an emphasis on metallic structures. The course covers: 1) certification (i.e. what is required to demonstrate that a structural component is safe and compliant with applicable regulations); 2) stress analysis techniques used to design and certify the thin walled structures which comprise most of the aircraft structure; 3) characteristics and manufacturing processes for high strength aerospace metallic materials; 4) structural optimisation in a practical context (i.e. how to design a component, in terms of materials and sizing, to have minimum weight, the required strength, and be suitable for manufacture)."
AERO4200,Flight Mechanics & Avionics,MATH2000 and MECH2410,AERO3000,,"Engineering, Architecture & Information Technology","Info Tech & Elec Engineering, Mech & Mine Engineering School",2,,One Semester,"Flight mechanics deals with the interaction between vehicles and the atmosphere. Problems in this area include producing more efficient designs, improving the control systems for aircraft, reducing aircraft vibration and noise, etc. The course covers aircraft performance during take-off, climb, level flight and landing. Aircraft stability and static equilibrium including the effect of components, aircraft control surfaces and devices, and trimmed equilibrium condition and its effect on performance."
AERO4300,Aerospace Composites,,AERO3100,,"Engineering, Architecture & Information Technology",Mech & Mine Engineering School,2,2,One Semester,Application of composite materials used in the aerospace industry. Characteristics of composite materials; Analysis of the stiffness & strength behaviour of fibre-reinforced composite & sandwich structures; Composite materials manufacturing processes & techniques used in the aerospace industry.
AERO4450,Aerospace Propulsion,MECH3410,MECH4450,,"Engineering, Architecture & Information Technology",Mech & Mine Engineering School,2,1,One Semester,Air-breathing propulsion systems; rocket propulsion systems; combustion applied to aerospace propulsion systems.
AERO4470,Hypersonics & Rarefied Gas Dynamics,MECH3410,MECH4470,,"Engineering, Architecture & Information Technology",Mech & Mine Engineering School,2,1,One Semester,"Hypersonic gas dynamics including: hypersonic equivalence, small perturbation, blunt body analysis, viscous flows, non-equilibrium flows, rarefied gas dynamics, satellite drag."
AERO4800,Space Engineering,MECH2210 and MECH3400 and MECH2700,MECH4800,,"Engineering, Architecture & Information Technology",Mech & Mine Engineering School,2,2,One Semester,"The course draws upon and extends many of the methods used by mechanical and space engineers in their professional practices. You will learn how to perform advanced trajectory design and launch vehicle sizing; analyse issues related to thermal loading and control of space systems, perform reliability estimates for complex systems, analyse complicated tasks by reducing them to their individual components, and communicate your ideas and concepts through engineering drawings and written and oral reports."
AERO4810,Aerospace Team Project II,ENGG2800 or METR2800,"ENGG3800, ENGG4810, METR3800",Restricted to Electrical & Aerospace and Software Systems & Aerospace students,,,2,,One Semester,"Small teams of students undertake design, implementation, testing, evaluation & presentation of a complete aerospace-related product."
AGRC1009,Rural Competencies,,,,Science,Agriculture Food Sciences Schl,2,,One Semester,"Rural competencies in tractors, chainsaws and welding with fundamental WHS compliances."
AGRC1010,Systems Thinking and Practice for Environmental and Agrifood Industries,,ENVM1501,,Science,Agriculture Food Sciences Schl,2,,One Semester,"An introduction to systems thinking and applications to Australia's natural systems and resource-based industries. Global trends, drivers of change and the interfaces between natural systems, agrifood production systems (agricultural, horticultural, animal) and food processing are explored."
AGRC1011,Safety and Quality Assurance in Land Based Industries,,PLNT1002,,Science,Agriculture Food Sciences Schl,2,,One Semester,Identification of causes of farm related incidents and injury; Obligations to the Qld Workplace Health and Safety act; Risk management; Rural quality assurance programs.
AGRC1012,Food and Fibre Case Studies I,,ABUS1002 or 2003,,Science,Agriculture Food Sciences Schl,2,,One Semester,"At an introductory level, the course examines strategic issues set in the context of food & fibre industries. Students carry out investigations framed around contemporary issues faced by agribusiness managers in firms & organizations providing inputs & services (finance, farm merchandise, technical services, plant & equipment & human resources) to agricultural, pastoral & horticultural producers. Each case study involves interviews with managers & other stakeholders. This is the first level of three courses that constitute the educational spine of the Agribusiness degree program."
AGRC1014,Plant Production Principles,,AG221 or 224 or 227 or LF105 or 205 or PLNT1004,,Science,Agriculture Food Sciences Schl,2,,One Semester,AGRC1014 will be replaced by AGRC1024 from 2017 onwards
AGRC1015,Knowledge Management in Natural and Agrifood Systems,,CS193 or QM124 or 125 or NR104 or COMP1001 or CERD1001 or COMU1960,,Science,Agriculture Food Sciences Schl,2,,One Semester,"Foundation course on accessing, organizing, using and presenting scientific information for knowledge creation and problem solving in natural and agrifood systems."
